NewValue;OldValue
0,900149345;0,900149345;
0,900149345;0,90110302;
0,900149345;0,895738602;
0,900149345;0,894546509;
0,900149345;0,895023346;
0,894427299;0,894427299;
0,894188881;0,894188881;
0,894188881;0,89430809;
0,894188881;0,895380974;
0,894188881;0,895738602;
0,894188881;0,890731812;
0,894188881;0,89430809;
0,894188881;0,893592834;
0,894188881;0,889778137;
0,894188881;0,889778137;
0,894188881;0,886201859;
0,894188881;0,909686089;
0,894188881;0,911355019;
0,894188881;0,982880592;
0,894188881;0,979661942;
0,894188881;0,98502636;
0,894188881;0,980257988;
0,894188881;0,978112221;
0,977516174;0,977516174;
0,977516174;0,979065895;
0,977516174;0,976085663;
0,977516174;0,973701477;
0,977516174;0,975728035;
0,977516174;0,972032547;
0,977516174;0,970363617;
0,970244408;0,970244408;
0,969529152;0,969529152;
0,969529152;0,970602036;
0,969529152;0,970959663;
0,969529152;0,969529152;
0,969529152;0,969529152;
0,969529152;0,970482826;
0,969529152;0,968694687;
0,969529152;0,969648361;
0,96821785;0,96821785;
0,96821785;0,978827477;
0,96821785;1,007914543;
0,96821785;1,062631607;
0,96821785;1,064062119;
0,96821785;1,06215477;
0,96821785;1,058220863;
0,96821785;1,075744629;
0,96821785;1,128673553;
0,96821785;0,989079475;
0,96821785;0,56552887;
0,564813614;0,564813614;
0,565052032;0,565052032;
0,565052032;0,566720963;
0,565052032;0,566720963;
0,565052032;0,568270683;
0,565052032;0,56886673;
0,567674637;0,567674637;
0,567436218;0,567436218;
0,567436218;0,566720963;
0,567436218;0,566720963;
0,565886497;0,565886497;
0,565648079;0,565648079;
0,565648079;0,567317009;
0,565648079;0,568509102;
0,565648079;0,566124916;
0,565648079;0,566959381;
0,565648079;0,567913055;
0,567674637;0,567674637;
0,567674637;0,565767288;
0,567674637;0,568151474;
0,567674637;0,568270683;
0,567674637;0,596046448;
0,594735146;0,594735146;
0,594735146;0,598549843;
0,594735146;0,662565231;
0,594735146;0,664234161;
0,594735146;0,66614151;
0,665664673;0,665664673;
0,665664673;0,666856766;
0,665426254;0,665426254;
0,664710999;0,664710999;
0,664710999;0,664591789;
0,664710999;0,664710999;
0,664710999;0,665545464;
0,664710999;0,664710999;
0,664710999;0,665187836;
0,664710999;0,665187836;
0,66447258;0,66447258;
0,66447258;0,664949417;
0,663995743;0,663995743;
0,663995743;0,665187836;
0,663995743;0,666618347;
0,663995743;0,669121742;
0,663995743;0,665187836;
0,663995743;0,661849976;
0,663995743;0,694274902;
0,663995743;0,69630146;
0,663995743;0,694274902;
0,663995743;0,699520111;
0,663995743;0,711679459;
0,663995743;0,716090202;
0,663995743;0,717043877;
0,716686249;0,716686249;
0,716567039;0,716567039;
0,716567039;0,713944435;
0,716567039;0,714540482;
0,713467598;0,713467598;
0,713467598;0,713825226;
0,71310997;0,71310997;
0,713348389;0,713348389;
0,712633133;0,712633133;
0,712156296;0,712156296;
0,71144104;0,71144104;
0,71144104;0,711917877;
0,71144104;0,711917877;
0,71144104;0,711679459;
0,71144104;0,715494156;
0,715136528;0,715136528;
0,715136528;0,709176064;
0,715136528;0,706195831;
0,715136528;0,749468803;
0,715136528;0,815391541;
0,715136528;0,824570656;
0,715136528;0,833630562;
0,715136528;0,817537308;
0,715136528;0,831842422;
0,715136528;0,823974609;
0,715136528;0,825285912;
0,715136528;0,836014748;
0,715136528;0,828146935;
0,715136528;0,823497772;
0,715136528;0,821590424;
0,715136528;0,823974609;
0,715136528;0,828742981;
0,828623772;0,828623772;
0,828623772;0,825643539;
0,828623772;0,820040703;
0,828623772;0,818133354;
0,828623772;0,820994377;
0,828623772;0,818014145;
0,828623772;0,818014145;
0,816583633;0,816583633;
0,815868378;0,815868378;
0,815868378;0,826001167;
0,815868378;0,827670097;
0,815868378;0,839233398;
0,815868378;0,892400742;
0,815868378;0,894546509;
0,815868378;0,894546509;
0,815868378;0,89430809;
0,815868378;0,892043114;
0,815868378;0,895261765;
0,815868378;0,893592834;
0,892162323;0,892162323;
0,891685486;0,891685486;
0,891685486;0,89263916;
0,891685486;0,892400742;
0,891685486;0,890016556;
0,891685486;0,890731812;
0,890612602;0,890612602;
0,889658928;0,889658928;
0,889658928;0,886201859;
0,889658928;0,8893013;
0,889658928;0,886559486;
0,889658928;0,880360603;
0,889658928;0,922322273;
0,889658928;0,914216042;
0,889658928;0,981688499;
0,981807709;0,981807709;
0,981807709;0,982284546;
0,981807709;0,983715057;
0,981807709;0,980615616;
0,981807709;0,980615616;
0,979423523;0,979423523;
0,979423523;0,979185104;
0,979423523;0,979542732;
0,978946686;0,978946686;
0,978946686;0,981092453;
0,978946686;0,979185104;
0,978946686;0,982046127;
0,978946686;0,978589058;
0,978946686;0,979781151;
0,978946686;0,97489357;
0,978946686;0,97322464;
0,978946686;0,967383385;
0,978946686;0,955224037;
0,978946686;0,175952911;
0,978946686;0,207662582;
0,978946686;0,214338303;
