NewValue;OldValue
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
-0,165700912;-0,165700912;
